# Pipeline started at 05-27 08:14:58

# pid	hash	cid	runtime	mem	cmd	lock
70931	662ab3780f	1	0:03:41.150000	 0.0032	cat	lock.raw__K562_PRO-seq.merged.fastq.gz
150472	c504091662	41	0:08:24.570000	 0.1031	bedtools	lock.QC_hg38__K562_PRO-seq_TSS_density.bed
150474	c504091662	43	0:08:24.590000	 0.0117	sort	lock.QC_hg38__K562_PRO-seq_TSS_density.bed
151538	9c0a77da16	46	0:14:04.570000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_gene_body_density.bed
151533	9c0a77da16	45	0:14:04.590000	 1.0184	bedtools	lock.QC_hg38__K562_PRO-seq_gene_body_density.bed
151539	9c0a77da16	47	0:14:04.630000	 0.0075	sort	lock.QC_hg38__K562_PRO-seq_gene_body_density.bed
153123	e35b795255	48	0:00:00.240000	 0.0007	join	lock.QC_hg38__K562_PRO-seq_pause_index.bed
153130	e35b795255	50	0:00:00.550000	 0.0057	env	lock.QC_hg38__K562_PRO-seq_pause_index.bed
153129	e35b795255	49	0:00:00.560000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_pause_index.bed
153135	ed66e64fd2	51	0:00:04.390000	 0.3198	Rscript	lock.QC_hg38__K562_PRO-seq_pause_index.pdf
153162	4f14e384cd	52	0:00:00.040000	 0.004	pigz	lock.QC_hg38__K562_PRO-seq_pause_index.bed.gz
154423	6ec4bfe6e9	53	0:00:00.760000	 0.0042	grep	lock.signal_hg38__K562_PRO-seq_gene_coverage.bed
154428	6ec4bfe6e9	54	0:00:00.780000	 0.005	bedtools	lock.signal_hg38__K562_PRO-seq_gene_coverage.bed
154430	edda270a93	55	0:14:23.840000	 1.0176	bedtools	lock.signal_hg38__K562_PRO-seq_gene_coverage.bed
156126	39b55756c5	56	0:00:00.170000	 0.0015	ln	lock.raw__hg38_annotations.bed
156132	17abd138a4	57	0:00:00.290000	 0.0023	pigz	lock.raw__hg38_annotations.bed
156145	5038f8c297	58	0:00:01.440000	 0.0023	awk	lock.QC_hg38__Enhancer
156148	06db9829fa	59	0:00:00.040000	 0.0	cut	lock.QC_hg38__Enhancer_sort.bed
156149	06db9829fa	60	0:00:00.700000	 0.0023	grep	lock.QC_hg38__Enhancer_sort.bed
156151	06db9829fa	62	0:00:00.740000	 0.0126	bedtools	lock.QC_hg38__Enhancer_sort.bed
156150	06db9829fa	61	0:00:00.760000	 0.0007	cut	lock.QC_hg38__Enhancer_sort.bed
156153	09671b3e49	63	0:04:23.960000	 0.0363	bedtools	lock.QC_hg38__K562_PRO-seq_Enhancer_plus_coverage.bed
156618	a66eaba535	64	0:04:17.990000	 0.0676	bedtools	lock.QC_hg38__K562_PRO-seq_Enhancer_minus_coverage.bed
156881	59e11b8d74	66	0:00:00.270000	 0.0	cut	lock.QC_hg38__Promoter_sort.bed
156882	59e11b8d74	67	0:00:00.490000	 0.0026	grep	lock.QC_hg38__Promoter_sort.bed
156884	59e11b8d74	69	0:00:00.500000	 0.0083	bedtools	lock.QC_hg38__Promoter_sort.bed
156883	59e11b8d74	68	0:00:00.510000	 0.0007	cut	lock.QC_hg38__Promoter_sort.bed
156886	e8ae3bdb97	70	0:04:46.310000	 0.5898	bedtools	lock.QC_hg38__K562_PRO-seq_Promoter_plus_coverage.bed
157445	53be5cd390	71	0:04:37.920000	 0.4707	bedtools	lock.QC_hg38__K562_PRO-seq_Promoter_minus_coverage.bed
157933	4ffbc5ed1e	73	0:00:00.060000	 0.0015	mv	lock.QC_hg38__Promoter_Flanking_Region
157934	f96599beb0	74	0:00:00.040000	 0.0	cut	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
157936	f96599beb0	76	0:00:01	 0.0007	cut	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
157935	f96599beb0	75	0:00:01.020000	 0.0023	grep	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
157937	f96599beb0	77	0:00:01.050000	 0.0112	bedtools	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
157940	aa3bc72704	78	0:04:10.090000	 0.0983	bedtools	lock.QC_hg38__K562_PRO-seq_Promoter_Flanking_Region_plus_coverage.bed
158514	48d5d18d6f	79	0:04:03.710000	 0.1652	bedtools	lock.QC_hg38__K562_PRO-seq_Promoter_Flanking_Region_minus_coverage.bed
158962	55e71d440d	81	0:00:00.040000	 0.0015	mv	lock.QC_hg38__5_UTR
158963	e6b55cf3dd	82	0:00:00.040000	 0.0	cut	lock.QC_hg38__5_UTR_sort.bed
158964	e6b55cf3dd	83	0:00:00.490000	 0.0026	grep	lock.QC_hg38__5_UTR_sort.bed
158966	e6b55cf3dd	85	0:00:00.530000	 0.0295	bedtools	lock.QC_hg38__5_UTR_sort.bed
158965	e6b55cf3dd	84	0:00:00.550000	 0.0007	cut	lock.QC_hg38__5_UTR_sort.bed
158969	c2883f0bf1	86	0:04:03.260000	 0.0767	bedtools	lock.QC_hg38__K562_PRO-seq_5_UTR_plus_coverage.bed
159485	70a8e5d276	87	0:03:56.470000	 0.0637	bedtools	lock.QC_hg38__K562_PRO-seq_5_UTR_minus_coverage.bed
159929	cc0d9b6cb2	89	0:00:00.050000	 0.0015	mv	lock.QC_hg38__3_UTR
159930	62f967ee49	90	0:00:00.040000	 0.0	cut	lock.QC_hg38__3_UTR_sort.bed
159931	62f967ee49	91	0:00:00.570000	 0.0026	grep	lock.QC_hg38__3_UTR_sort.bed
159933	62f967ee49	93	0:00:00.620000	 0.035	bedtools	lock.QC_hg38__3_UTR_sort.bed
159932	62f967ee49	92	0:00:00.630000	 0.0007	cut	lock.QC_hg38__3_UTR_sort.bed
159936	87f7d1c337	94	0:04:08.970000	 0.1043	bedtools	lock.QC_hg38__K562_PRO-seq_3_UTR_plus_coverage.bed
160185	ba646dd65a	95	0:04:02.700000	 0.1623	bedtools	lock.QC_hg38__K562_PRO-seq_3_UTR_minus_coverage.bed
160697	ed1b92d9f9	97	0:00:00.160000	 0.0	cut	lock.QC_hg38__Exon_sort.bed
160698	ed1b92d9f9	98	0:00:02.780000	 0.0041	grep	lock.QC_hg38__Exon_sort.bed
160700	ed1b92d9f9	100	0:00:02.970000	 0.1789	bedtools	lock.QC_hg38__Exon_sort.bed
160699	ed1b92d9f9	99	0:00:02.990000	 0.0007	cut	lock.QC_hg38__Exon_sort.bed
160707	833c0c8cc6	101	0:04:30	 0.4649	bedtools	lock.QC_hg38__K562_PRO-seq_Exon_plus_coverage.bed
161187	fb22a760c5	102	0:04:24.870000	 0.1852	bedtools	lock.QC_hg38__K562_PRO-seq_Exon_minus_coverage.bed
161780	924225ba8b	104	0:00:00.070000	 0.0	cut	lock.QC_hg38__Intron_sort.bed
161782	924225ba8b	106	0:00:01.360000	 0.0007	cut	lock.QC_hg38__Intron_sort.bed
161781	924225ba8b	105	0:00:01.370000	 0.0023	grep	lock.QC_hg38__Intron_sort.bed
161783	924225ba8b	107	0:00:01.440000	 0.0109	bedtools	lock.QC_hg38__Intron_sort.bed
161787	1683d0ae63	108	0:05:31.070000	 0.4511	bedtools	lock.QC_hg38__K562_PRO-seq_Intron_plus_coverage.bed
162332	058e14abb5	109	0:05:35.920000	 0.431	bedtools	lock.QC_hg38__K562_PRO-seq_Intron_minus_coverage.bed
163007	b76e4900d8	110	0:00:39.670000	 0.4365	Rscript	lock.QC_hg38__K562_PRO-seq_cFRiF.pdf
163254	2e7982e814	111	0:00:25.270000	 0.4919	Rscript	lock.QC_hg38__K562_PRO-seq_FRiF.pdf
163301	be40851615	113	0:00:04.980000	 0.0965	bedtools	lock.QC_hg38__hg38_introns_sort.bed
163299	be40851615	112	0:00:05	 0.0045	grep	lock.QC_hg38__hg38_introns_sort.bed
163306	ca71bc2c4c	114	0:00:04.550000	 0.0048	grep	lock.QC_hg38__hg38_introns_sort.bed
163309	ca71bc2c4c	116	0:00:05.300000	 0.0032	bedtools	lock.QC_hg38__hg38_introns_sort.bed
163308	ca71bc2c4c	115	0:00:05.340000	 0.0353	bedtools	lock.QC_hg38__hg38_introns_sort.bed
163315	0386963ca5	117	0:09:23.710000	 0.2912	bedtools	lock.QC_hg38__K562_PRO-seq_introns_coverage.bed
164354	2d11c314bc	118	0:12:04.180000	 0.4855	bedtools	lock.QC_hg38__K562_PRO-seq_introns_coverage.bed
165623	e55fccb0c0	119	0:00:00.600000	 0.0073	awk	lock.QC_hg38__K562_PRO-seq_exons_rpkm.bed
165631	e55fccb0c0	121	0:00:00.630000	 0.0059	sort	lock.QC_hg38__K562_PRO-seq_exons_rpkm.bed
165630	e55fccb0c0	120	0:00:00.650000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_exons_rpkm.bed
165634	0c69c64ab1	122	0:00:00.490000	 0.0075	awk	lock.QC_hg38__K562_PRO-seq_introns_rpkm.bed
165636	0c69c64ab1	124	0:00:00.520000	 0.0025	sort	lock.QC_hg38__K562_PRO-seq_introns_rpkm.bed
165635	0c69c64ab1	123	0:00:00.530000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_introns_rpkm.bed
165639	9b9969499b	125	0:00:00.080000	 0.0007	join	lock.QC_hg38__K562_PRO-seq_exon_intron_ratios.bed
165641	9b9969499b	127	0:00:00.270000	 0.0057	sort	lock.QC_hg38__K562_PRO-seq_exon_intron_ratios.bed
165640	9b9969499b	126	0:00:00.280000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_exon_intron_ratios.bed
165647	c8a3b01cba	128	0:00:04.480000	 0.3196	Rscript	lock.QC_hg38__K562_PRO-seq_mRNA_contamination.pdf
165674	f966bb14a1	129	0:00:00.050000	 0.0053	pigz	lock.QC_hg38__K562_PRO-seq_exon_intron_ratios.bed.gz
165684	1af83c7803	130	0:02:53.220000	 0.02	samtools	lock.signal_hg38__K562_PRO-seq_plus_smooth_body_0-mer.bw
166147	287864a078	131	0:10:12.540000	 4.3204	/scratch/jps3dp/tools/databio//peppro/tools/bamSitesToWig.py	lock.signal_hg38__K562_PRO-seq_plus_smooth_body_0-mer.bw
168231	199a54af32	132	0:02:47.390000	 0.0213	samtools	lock.signal_hg38__K562_PRO-seq_minus_smooth_body_0-mer.bw
168401	8280bee48d	133	0:09:52.420000	 3.3111	/scratch/jps3dp/tools/databio//peppro/tools/bamSitesToWig.py	lock.signal_hg38__K562_PRO-seq_minus_smooth_body_0-mer.bw
