# Pipeline started at 06-11 17:31:59

# pid	hash	cid	runtime	mem	cmd	lock
51527	14ebc8c106	1	0:00:41.790000	 0.003	cat	lock.raw__HelaS3_GRO-seq.merged.fastq.gz
431058	6b0e7ff418	38	0:00:00.280000	 0.0023	pigz	lock.raw__hg38_annotations.bed
431067	2907a51294	39	0:00:01.280000	 0.0023	awk	lock.QC_hg38__Enhancer
431070	f476d758b8	40	0:00:00.040000	 0.0	cut	lock.QC_hg38__Enhancer_sort.bed
431071	f476d758b8	41	0:00:00.690000	 0.0023	grep	lock.QC_hg38__Enhancer_sort.bed
431073	f476d758b8	43	0:00:00.740000	 0.0445	bedtools	lock.QC_hg38__Enhancer_sort.bed
431072	f476d758b8	42	0:00:00.750000	 0.0007	cut	lock.QC_hg38__Enhancer_sort.bed
431075	e00b6a0ed8	44	0:00:09.260000	 0.0085	bedtools	lock.QC_hg38__HelaS3_GRO-seq_Enhancer_plus_coverage.bed
431110	baea2fda27	45	0:00:08.180000	 0.0093	bedtools	lock.QC_hg38__HelaS3_GRO-seq_Enhancer_minus_coverage.bed
431123	5a9c3c9ed7	47	0:00:00.040000	 0.0	cut	lock.QC_hg38__Promoter_sort.bed
431124	5a9c3c9ed7	48	0:00:00.250000	 0.0026	grep	lock.QC_hg38__Promoter_sort.bed
431126	5a9c3c9ed7	50	0:00:00.270000	 0.0083	bedtools	lock.QC_hg38__Promoter_sort.bed
431125	5a9c3c9ed7	49	0:00:00.280000	 0.0007	cut	lock.QC_hg38__Promoter_sort.bed
431128	907bc043e0	51	0:00:10.390000	 0.0613	bedtools	lock.QC_hg38__HelaS3_GRO-seq_Promoter_plus_coverage.bed
431141	6535b023a7	52	0:00:08.380000	 0.0672	bedtools	lock.QC_hg38__HelaS3_GRO-seq_Promoter_minus_coverage.bed
431156	c2ab4483f9	54	0:00:00.030000	 0.0	mv	lock.QC_hg38__Promoter_Flanking_Region
431157	865329bb72	55	0:00:00.040000	 0.0	cut	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
431159	865329bb72	57	0:00:01	 0.0007	cut	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
431158	865329bb72	56	0:00:01.020000	 0.0023	grep	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
431160	865329bb72	58	0:00:01.030000	 0.0129	bedtools	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
431163	13605dbd68	59	0:00:09.580000	 0.0153	bedtools	lock.QC_hg38__HelaS3_GRO-seq_Promoter_Flanking_Region_plus_coverage.bed
431180	d23b307e64	60	0:00:08.380000	 0.0109	bedtools	lock.QC_hg38__HelaS3_GRO-seq_Promoter_Flanking_Region_minus_coverage.bed
431212	f7b0dda5dc	62	0:00:00.020000	 0.0	mv	lock.QC_hg38__5_UTR
431213	7a822a364c	63	0:00:00.040000	 0.0	cut	lock.QC_hg38__5_UTR_sort.bed
431214	7a822a364c	64	0:00:00.490000	 0.0026	grep	lock.QC_hg38__5_UTR_sort.bed
431216	7a822a364c	66	0:00:00.530000	 0.0295	bedtools	lock.QC_hg38__5_UTR_sort.bed
431215	7a822a364c	65	0:00:00.540000	 0.0007	cut	lock.QC_hg38__5_UTR_sort.bed
431219	100f2cf8fa	67	0:00:08.900000	 0.01	bedtools	lock.QC_hg38__HelaS3_GRO-seq_5_UTR_plus_coverage.bed
431231	52327c4a5c	68	0:00:07.770000	 0.0081	bedtools	lock.QC_hg38__HelaS3_GRO-seq_5_UTR_minus_coverage.bed
431240	d6f267b17d	70	0:00:00.020000	 0.0008	mv	lock.QC_hg38__3_UTR
431241	6755345d49	71	0:00:00.040000	 0.0	cut	lock.QC_hg38__3_UTR_sort.bed
431242	6755345d49	72	0:00:00.570000	 0.0026	grep	lock.QC_hg38__3_UTR_sort.bed
431244	6755345d49	74	0:00:00.610000	 0.0349	bedtools	lock.QC_hg38__3_UTR_sort.bed
431243	6755345d49	73	0:00:00.620000	 0.0007	cut	lock.QC_hg38__3_UTR_sort.bed
431246	d772659c28	75	0:00:08.980000	 0.0163	bedtools	lock.QC_hg38__HelaS3_GRO-seq_3_UTR_plus_coverage.bed
431264	73d1224f19	76	0:00:08.140000	 0.0189	bedtools	lock.QC_hg38__HelaS3_GRO-seq_3_UTR_minus_coverage.bed
431275	7a942cf44c	78	0:00:00.040000	 0.0	cut	lock.QC_hg38__Exon_sort.bed
431276	7a942cf44c	79	0:00:02.580000	 0.0041	grep	lock.QC_hg38__Exon_sort.bed
431278	7a942cf44c	81	0:00:02.770000	 0.1586	bedtools	lock.QC_hg38__Exon_sort.bed
431277	7a942cf44c	80	0:00:02.780000	 0.0007	cut	lock.QC_hg38__Exon_sort.bed
431282	e0d2fa50fb	82	0:00:11.560000	 0.0365	bedtools	lock.QC_hg38__HelaS3_GRO-seq_Exon_plus_coverage.bed
431333	d1471d4e66	83	0:00:10.030000	 0.057	bedtools	lock.QC_hg38__HelaS3_GRO-seq_Exon_minus_coverage.bed
436224	fb5918ac4b	85	0:00:00.040000	 0.0	cut	lock.QC_hg38__Intron_sort.bed
436226	fb5918ac4b	87	0:00:01.330000	 0.0007	cut	lock.QC_hg38__Intron_sort.bed
436225	fb5918ac4b	86	0:00:01.340000	 0.0023	grep	lock.QC_hg38__Intron_sort.bed
436227	fb5918ac4b	88	0:00:01.450000	 0.0793	bedtools	lock.QC_hg38__Intron_sort.bed
437383	97dd96d23c	89	0:00:12.240000	 0.0403	bedtools	lock.QC_hg38__HelaS3_GRO-seq_Intron_plus_coverage.bed
453287	c58759a096	90	0:00:10.680000	 0.0497	bedtools	lock.QC_hg38__HelaS3_GRO-seq_Intron_minus_coverage.bed
11157	c1db5b2aa0	91	0:00:31.920000	 0.4746	Rscript	lock.QC_hg38__HelaS3_GRO-seq_cFRiF.pdf
22651	364a069611	92	0:00:24.990000	 0.5131	Rscript	lock.QC_hg38__HelaS3_GRO-seq_FRiF.pdf
44533	6920ca25c4	94	0:00:04.930000	 0.0927	bedtools	lock.QC_hg38__hg38_introns_sort.bed
44531	6920ca25c4	93	0:00:04.950000	 0.0045	grep	lock.QC_hg38__hg38_introns_sort.bed
50607	5b22c69d6b	95	0:00:04.510000	 0.0048	grep	lock.QC_hg38__hg38_introns_sort.bed
50621	5b22c69d6b	97	0:00:05.100000	 0.0032	bedtools	lock.QC_hg38__hg38_introns_sort.bed
50620	5b22c69d6b	96	0:00:05.120000	 0.034	bedtools	lock.QC_hg38__hg38_introns_sort.bed
55318	25aadba58b	98	0:00:18.590000	 0.3969	bedtools	lock.QC_hg38__HelaS3_GRO-seq_introns_coverage.bed
61248	881d5fca7b	99	0:00:19.230000	 0.0911	bedtools	lock.QC_hg38__HelaS3_GRO-seq_introns_coverage.bed
61372	bdbff1b527	100	0:00:00.440000	 0.0071	awk	lock.QC_hg38__HelaS3_GRO-seq_exons_rpkm.bed
61374	bdbff1b527	102	0:00:00.480000	 0.0036	sort	lock.QC_hg38__HelaS3_GRO-seq_exons_rpkm.bed
61373	bdbff1b527	101	0:00:00.490000	 0.001	awk	lock.QC_hg38__HelaS3_GRO-seq_exons_rpkm.bed
61376	e2e0366d47	103	0:00:00.440000	 0.0071	awk	lock.QC_hg38__HelaS3_GRO-seq_introns_rpkm.bed
61378	e2e0366d47	105	0:00:00.480000	 0.0038	sort	lock.QC_hg38__HelaS3_GRO-seq_introns_rpkm.bed
61377	e2e0366d47	104	0:00:00.490000	 0.001	awk	lock.QC_hg38__HelaS3_GRO-seq_introns_rpkm.bed
61381	d0a6aefe55	106	0:00:00.060000	 0.0007	join	lock.QC_hg38__HelaS3_GRO-seq_exon_intron_ratios.bed
61383	d0a6aefe55	108	0:00:00.210000	 0.0054	sort	lock.QC_hg38__HelaS3_GRO-seq_exon_intron_ratios.bed
61382	d0a6aefe55	107	0:00:00.220000	 0.001	awk	lock.QC_hg38__HelaS3_GRO-seq_exon_intron_ratios.bed
61389	02867b5f90	109	0:00:04.230000	 0.3173	Rscript	lock.QC_hg38__HelaS3_GRO-seq_mRNA_contamination.pdf
61409	b3e0bf7571	110	0:00:00.040000	 0.0045	pigz	lock.QC_hg38__HelaS3_GRO-seq_exon_intron_ratios.bed.gz
61417	39bb458e59	111	0:00:05.470000	 0.0092	samtools	lock.signal_hg38__HelaS3_GRO-seq_plus_smooth_body_0-mer.bw
61423	281cd9b341	112	0:05:23.130000	 3.503	/scratch/jps3dp/tools/databio//peppro/tools/bamSitesToWig.py	lock.signal_hg38__HelaS3_GRO-seq_plus_smooth_body_0-mer.bw
151408	13bb9862bd	113	0:00:04.950000	 0.0096	samtools	lock.signal_hg38__HelaS3_GRO-seq_minus_smooth_body_0-mer.bw
151418	204040626c	114	0:05:17.740000	 3.524	/scratch/jps3dp/tools/databio//peppro/tools/bamSitesToWig.py	lock.signal_hg38__HelaS3_GRO-seq_minus_smooth_body_0-mer.bw
