# Pipeline started at 06-11 19:07:40

# pid	hash	cid	runtime	mem	cmd	lock
239583	68cc8ae101	1	0:02:48.130000	 0.0032	cat	lock.raw__K562_PRO-seq_100.merged.fastq.gz
297692	bb84e70b47	38	0:00:01.730000	 0.0931	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
297696	12d3e948da	39	0:00:00.260000	 0.0026	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
297697	12d3e948da	40	0:00:00.320000	 0.0051	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
297699	8d734dd1ea	41	0:08:06.800000	 0.1033	bedtools	lock.QC_hg38__K562_PRO-seq_100_TSS_density.bed
297701	8d734dd1ea	43	0:08:07.740000	 0.0105	sort	lock.QC_hg38__K562_PRO-seq_100_TSS_density.bed
297700	8d734dd1ea	42	0:08:07.760000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_100_TSS_density.bed
297702	8d734dd1ea	44	0:08:07.860000	 0.012	sort	lock.QC_hg38__K562_PRO-seq_100_TSS_density.bed
298626	45758e50ae	46	0:14:04.420000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_100_gene_body_density.bed
298620	45758e50ae	45	0:14:04.450000	 1.0221	bedtools	lock.QC_hg38__K562_PRO-seq_100_gene_body_density.bed
298627	45758e50ae	47	0:14:04.510000	 0.0055	sort	lock.QC_hg38__K562_PRO-seq_100_gene_body_density.bed
299969	595d993874	48	0:00:00.530000	 0.0007	join	lock.QC_hg38__K562_PRO-seq_100_pause_index.bed
299976	595d993874	50	0:00:00.760000	 0.0062	env	lock.QC_hg38__K562_PRO-seq_100_pause_index.bed
299975	595d993874	49	0:00:00.770000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_100_pause_index.bed
# Pipeline started at 06-14 21:10:48

# pid	hash	cid	runtime	mem	cmd	lock
280310	efca2d82bd	28	0:00:00.170000	 0.0007	join	lock.QC_hg38__K562_PRO-seq_100_pause_index.bed
280312	efca2d82bd	30	0:00:00.440000	 0.0057	env	lock.QC_hg38__K562_PRO-seq_100_pause_index.bed
280311	efca2d82bd	29	0:00:00.450000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_100_pause_index.bed
280320	ca235a67b0	31	0:00:00.040000	 0.0038	awk	lock.QC_hg38__K562_PRO-seq_100_pause_index.bed
280325	7be2c2413d	32	0:00:05.680000	 0.2123	Rscript	lock.QC_hg38__K562_PRO-seq_100_pause_index.pdf
280358	2b00a48a16	33	0:00:00.050000	 0.0024	pigz	lock.QC_hg38__K562_PRO-seq_100_pause_index.bed.gz
331289	f711cfc377	34	0:00:00.830000	 0.0042	grep	lock.signal_hg38__K562_PRO-seq_100_gene_coverage.bed
331339	f711cfc377	35	0:00:00.850000	 0.0042	bedtools	lock.signal_hg38__K562_PRO-seq_100_gene_coverage.bed
331715	d47b6978cc	36	0:15:15.830000	 1.021	bedtools	lock.signal_hg38__K562_PRO-seq_100_gene_coverage.bed
393358	1600c72ec0	37	0:00:00.170000	 0.0015	ln	lock.raw__hg38_annotations.bed
393364	dfec3d6e52	38	0:00:00.290000	 0.0023	pigz	lock.raw__hg38_annotations.bed
393373	fcb3a53617	39	0:00:01.280000	 0.0023	awk	lock.QC_hg38__Enhancer
393375	6af092d57e	40	0:00:00.040000	 0.0	cut	lock.QC_hg38__Enhancer_sort.bed
393376	6af092d57e	41	0:00:00.700000	 0.0023	grep	lock.QC_hg38__Enhancer_sort.bed
393378	6af092d57e	43	0:00:00.760000	 0.0476	bedtools	lock.QC_hg38__Enhancer_sort.bed
393377	6af092d57e	42	0:00:00.780000	 0.0007	cut	lock.QC_hg38__Enhancer_sort.bed
393381	03b13277b3	44	0:04:19.750000	 0.0367	bedtools	lock.QC_hg38__K562_PRO-seq_100_Enhancer_plus_coverage.bed
393904	4e18b10d79	45	0:04:08.410000	 0.068	bedtools	lock.QC_hg38__K562_PRO-seq_100_Enhancer_minus_coverage.bed
394351	1a908ff279	47	0:00:00.060000	 0.0	cut	lock.QC_hg38__Promoter_sort.bed
394352	1a908ff279	48	0:00:00.270000	 0.0026	grep	lock.QC_hg38__Promoter_sort.bed
394354	1a908ff279	50	0:00:00.280000	 0.0081	bedtools	lock.QC_hg38__Promoter_sort.bed
394353	1a908ff279	49	0:00:00.290000	 0.0007	cut	lock.QC_hg38__Promoter_sort.bed
394356	9ef1e8dd78	51	0:05:01.200000	 0.5916	bedtools	lock.QC_hg38__K562_PRO-seq_100_Promoter_plus_coverage.bed
394913	639b63fd88	52	0:04:57.240000	 0.4746	bedtools	lock.QC_hg38__K562_PRO-seq_100_Promoter_minus_coverage.bed
395414	9d3c7e977c	54	0:00:00.060000	 0.0015	mv	lock.QC_hg38__Promoter_Flanking_Region
395415	9f9ed1c2e8	55	0:00:00.040000	 0.0	cut	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
395417	9f9ed1c2e8	57	0:00:01	 0.0007	cut	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
395416	9f9ed1c2e8	56	0:00:01.010000	 0.0023	grep	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
395418	9f9ed1c2e8	58	0:00:01.120000	 0.0101	bedtools	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
395421	26ebdc9f86	59	0:04:34.260000	 0.0984	bedtools	lock.QC_hg38__K562_PRO-seq_100_Promoter_Flanking_Region_plus_coverage.bed
395977	a75ae05e0a	60	0:04:35.680000	 0.1656	bedtools	lock.QC_hg38__K562_PRO-seq_100_Promoter_Flanking_Region_minus_coverage.bed
396492	5224dc94e1	62	0:00:00.050000	 0.0015	mv	lock.QC_hg38__5_UTR
396493	5455dc1195	63	0:00:00.040000	 0.0	cut	lock.QC_hg38__5_UTR_sort.bed
396494	5455dc1195	64	0:00:00.530000	 0.0026	grep	lock.QC_hg38__5_UTR_sort.bed
396496	5455dc1195	66	0:00:00.550000	 0.0098	bedtools	lock.QC_hg38__5_UTR_sort.bed
396495	5455dc1195	65	0:00:00.560000	 0.0007	cut	lock.QC_hg38__5_UTR_sort.bed
396500	c1f704335f	67	0:04:30.300000	 0.0768	bedtools	lock.QC_hg38__K562_PRO-seq_100_5_UTR_plus_coverage.bed
414548	f3cdf696fd	68	0:04:12.020000	 0.0626	bedtools	lock.QC_hg38__K562_PRO-seq_100_5_UTR_minus_coverage.bed
419328	f900945c0d	70	0:00:00.060000	 0.0015	mv	lock.QC_hg38__3_UTR
419329	b3934755cd	71	0:00:00.040000	 0.0	cut	lock.QC_hg38__3_UTR_sort.bed
419330	b3934755cd	72	0:00:00.620000	 0.0026	grep	lock.QC_hg38__3_UTR_sort.bed
419332	b3934755cd	74	0:00:00.630000	 0.0094	bedtools	lock.QC_hg38__3_UTR_sort.bed
419331	b3934755cd	73	0:00:00.640000	 0.0007	cut	lock.QC_hg38__3_UTR_sort.bed
419335	553eb4471a	75	0:04:40	 0.1045	bedtools	lock.QC_hg38__K562_PRO-seq_100_3_UTR_plus_coverage.bed
419820	c0bc533084	76	0:04:34.980000	 0.1622	bedtools	lock.QC_hg38__K562_PRO-seq_100_3_UTR_minus_coverage.bed
422032	0fa0eec0d3	78	0:00:00.080000	 0.0	cut	lock.QC_hg38__Exon_sort.bed
422069	0fa0eec0d3	79	0:00:02.700000	 0.0041	grep	lock.QC_hg38__Exon_sort.bed
422089	0fa0eec0d3	81	0:00:02.930000	 0.158	bedtools	lock.QC_hg38__Exon_sort.bed
422085	0fa0eec0d3	80	0:00:02.950000	 0.0007	cut	lock.QC_hg38__Exon_sort.bed
424370	c8a58801d9	82	0:05:25.310000	 0.468	bedtools	lock.QC_hg38__K562_PRO-seq_100_Exon_plus_coverage.bed
456033	4436a70758	83	0:05:14.950000	 0.1861	bedtools	lock.QC_hg38__K562_PRO-seq_100_Exon_minus_coverage.bed
29395	ff41e594e9	85	0:00:00.070000	 0.0	cut	lock.QC_hg38__Intron_sort.bed
29397	ff41e594e9	87	0:00:01.350000	 0.0007	cut	lock.QC_hg38__Intron_sort.bed
29396	ff41e594e9	86	0:00:01.370000	 0.0023	grep	lock.QC_hg38__Intron_sort.bed
29398	ff41e594e9	88	0:00:01.430000	 0.0847	bedtools	lock.QC_hg38__Intron_sort.bed
29402	e85893a232	89	0:06:14.960000	 0.4535	bedtools	lock.QC_hg38__K562_PRO-seq_100_Intron_plus_coverage.bed
57734	3a7ff55428	90	0:06:20.490000	 0.4342	bedtools	lock.QC_hg38__K562_PRO-seq_100_Intron_minus_coverage.bed
80398	b195fc93e6	91	0:00:45.580000	 0.831	Rscript	lock.QC_hg38__K562_PRO-seq_100_cFRiF.pdf
80459	c68a96e5b6	92	0:00:28.980000	 0.4393	Rscript	lock.QC_hg38__K562_PRO-seq_100_FRiF.pdf
80503	047466426f	94	0:00:05	 0.0937	bedtools	lock.QC_hg38__hg38_introns_sort.bed
80502	047466426f	93	0:00:05.020000	 0.0045	grep	lock.QC_hg38__hg38_introns_sort.bed
80512	ceb70ed755	95	0:00:04.660000	 0.0047	grep	lock.QC_hg38__hg38_introns_sort.bed
80514	ceb70ed755	97	0:00:05.290000	 0.0035	bedtools	lock.QC_hg38__hg38_introns_sort.bed
80513	ceb70ed755	96	0:00:05.300000	 0.0365	bedtools	lock.QC_hg38__hg38_introns_sort.bed
80522	2b4a5b4610	98	0:09:41.750000	 0.2926	bedtools	lock.QC_hg38__K562_PRO-seq_100_introns_coverage.bed
131120	b502d035cf	99	0:13:28.720000	 0.4871	bedtools	lock.QC_hg38__K562_PRO-seq_100_introns_coverage.bed
193263	3903b742f7	100	0:00:00.640000	 0.0062	awk	lock.QC_hg38__K562_PRO-seq_100_exons_rpkm.bed
193272	3903b742f7	102	0:00:00.660000	 0.0025	sort	lock.QC_hg38__K562_PRO-seq_100_exons_rpkm.bed
193271	3903b742f7	101	0:00:00.670000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_100_exons_rpkm.bed
193274	28e0bf5226	103	0:00:00.480000	 0.0073	awk	lock.QC_hg38__K562_PRO-seq_100_introns_rpkm.bed
193276	28e0bf5226	105	0:00:00.550000	 0.0059	sort	lock.QC_hg38__K562_PRO-seq_100_introns_rpkm.bed
193275	28e0bf5226	104	0:00:00.560000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_100_introns_rpkm.bed
193279	139e13ebb6	106	0:00:00.090000	 0.0007	join	lock.QC_hg38__K562_PRO-seq_100_exon_intron_ratios.bed
193281	139e13ebb6	108	0:00:00.310000	 0.0057	sort	lock.QC_hg38__K562_PRO-seq_100_exon_intron_ratios.bed
193280	139e13ebb6	107	0:00:00.330000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_100_exon_intron_ratios.bed
193287	9a90ee2b7a	109	0:00:05.640000	 0.2082	Rscript	lock.QC_hg38__K562_PRO-seq_100_mRNA_contamination.pdf
193318	9cc17e4e93	110	0:00:00.090000	 0.0053	pigz	lock.QC_hg38__K562_PRO-seq_100_exon_intron_ratios.bed.gz
193327	83b987d6cd	111	0:03:00.290000	 0.0195	samtools	lock.signal_hg38__K562_PRO-seq_100_plus_smooth_body_0-mer.bw
193512	f60bf3027d	112	0:08:29.630000	 3.8472	/scratch/jps3dp/tools/databio//peppro/tools/bamSitesToWig.py	lock.signal_hg38__K562_PRO-seq_100_plus_smooth_body_0-mer.bw
195542	99dddd562d	113	0:03:06.970000	 0.0194	samtools	lock.signal_hg38__K562_PRO-seq_100_minus_smooth_body_0-mer.bw
195934	7279c270cd	114	0:08:09.200000	 4.2155	/scratch/jps3dp/tools/databio//peppro/tools/bamSitesToWig.py	lock.signal_hg38__K562_PRO-seq_100_minus_smooth_body_0-mer.bw
